GMT-M1,GMT-M1,JH-V1 SK38,JH-V1 SK38,JH-V2,JH-V2,Niky,Niky,L-V1,L-V1,
400,3.12,400,5.12,,,400,2.62,400,0.5,228
401,3.12,401,5.56,,,401,2.06,401,1.31,229
402,5,402,6.75,,,402,5.19,402,3.44,230
403,7.87,403,9.25,,,403,6.62,403,9.5,231
404,9.94,404,9.81,,,404,9.25,404,7.69,232
405,10.75,405,10.63,,,405,8.94,405,8.69,233
406,11.31,406,11.13,,,406,10.19,406,9.19,234
407,13.56,407,12.69,,,407,12.75,407,11.31,235
408,16.56,408,14.13,,,408,12.69,408,12.44,236
409,19.5,409,14.31,,,409,18.81,409,13.94,237
410,24.5,410,14,,,410,15.19,410,15.19,238
411,15.69,411,13.63,,,411,13.63,411,12.75,239
412,15.75,412,13.81,,,412,12.81,412,12.75,240
413,13.94,413,13.13,,,,,413,11.81,241
414,12.56,414,12.5,,,,,414,10.88,242
415,11.19,415,11.38,,,,,415,9.06,243
416,8.31,416,9.5,,,,,416,5.31,244
417,6.62,417,7.75,,,,,417,3.56,245
418,6.94,418,7.87,,,,,418,5.56,246
419,5.25,419,6.75,,,,,419,2.87,247
420,4.56,420,5.87,,,,,420,2.44,248
421,3.87,421,5.44,,,,,421,1.19,249
422,4.5,422,5.81,,,,,422,1.75,250
423,4.75,423,6,,,,,423,2.06,251
424,5.62,424,6.87,,,,,424,3.31,252
425,6.87,425,8.44,,,,,425,7,253
426,8.69,426,9.25,,,,,426,8.63,254
427,11,427,10.56,,,,,427,9.31,255
428,12.88,428,12,,,,,428,11.38,256
429,14,429,13.19,,,,,429,12.88,257
430,15.63,430,14.44,,,,,430,15,258
431,15.06,431,13.88,,,,,431,13.25,259
432,17.5,432,15,,,,,432,14.69,260
433,18.75,433,14.94,,,,,433,14,261
434,20.56,434,16.25,,,,,434,15.56,262
435,24.19,435,15.81,,,,,435,15.19,263
436,18.12,436,15.19,,,,,436,14.44,264
437,16.69,437,14.25,,,,,437,13.63,265
438,14.19,438,13.19,,,,,438,12,266
439,11.88,439,12.06,,,,,439,9.63,267
440,10.56,440,10.69,,,,,440,8.88,268
441,9.75,441,10.13,,,,,441,7.62,269
442,9.31,442,9.75,,,,,442,7.25,270
443,9.19,443,9.81,,,,,443,7.06,271
444,9,444,9.5,,,,,444,7.12,272
445,9.19,445,9.81,,,,,445,7.31,273
446,9.06,446,9.56,,,,,446,7.25,274
447,8.81,447,9.25,,,,,447,7.12,275
448,8.5,448,8.94,,,,,448,6.69,276
449,8.44,449,8.63,,,,,449,6.69,277
450,9.5,450,9.31,,,,,450,7.31,278
451,10.13,451,9.88,,,,,451,7.5,279
452,11.13,452,10.44,,,,,452,7.94,280
453,12.19,453,11.13,,,,,453,8.81,281
454,11.19,454,11,,,,,454,8.25,282
455,13.13,455,12.31,,,,,455,10.19,283
456,15.75,456,12.63,,,,,456,11,284
457,26.44,457,14.25,,,,,457,13.88,285
458,19.5,458,13.75,,,,,458,15.38,286
459,19.37,459,14.38,,,,,459,14.63,287
460,21.25,460,14.81,,,,,460,14.06,288
461,21.62,461,13.5,,,,,461,13.38,289
,,462,13.56,,,,,462,13.13,290
,,463,12.31,,,,,463,10.44,291
,,464,11.69,,,,,464,9.19,292
,,465,11.31,,,,,465,8.75,293
,,466,10.75,,,,,466,8.25,294
,,467,10.63,,,,,467,8.13,295
,,468,10,,,,,468,8.06,296
,,469,9.63,,,,,469,7.06,297
,,470,9.44,,,,,470,6.94,298
,,471,9.06,,,,,471,6.69,299
,,472,8.88,,,,,472,6.62,300
,,473,8.88,,,,,473,6.94,301
,,474,8.81,,,,,474,7.31,302
,,475,9.31,,,,,475,8.19,303
,,476,9.63,,,,,476,8.19,304
,,477,10.31,,,,,477,8.94,305
,,478,10,,,,,478,8.69,306
,,479,10.44,,,,,479,9.13,307
,,480,11.44,,,,,480,11.25,308
